evaluation_set,model_a,model_b,metric,n_items,observed_accuracy_difference,bootstrap_mean_difference,ci_95_lower,ci_95_upper,num_bootstrap_samples,random_seed
v1,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1_accuracy_difference,20,0.04999999999999993,0.049564,0.0,0.15000000000000002,100000.0,0
v1,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,pairwise_agreement_rate_difference_item_cluster,20,0.0,4.069999999999956e-05,-0.030000000000000027,0.030000000000000027,100000.0,1
v1,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1_accuracy_difference,20,0.35000000000000003,0.3503875,0.09999999999999998,0.6,100000.0,0
v1,pref-sentseq/lr3e-4-ep40,pref-bt/default,pairwise_agreement_rate_difference_item_cluster,20,0.06333333333333335,0.06324313333333334,0.0,0.1233333333333333,100000.0,1
v1,pref-sentseq/lr3e-4-ep40,pref-ce/default,top1_accuracy_difference,20,0.30000000000000004,0.300495,0.050000000000000044,0.55,100000.0,0
v1,pref-sentseq/lr3e-4-ep40,pref-ce/default,pairwise_agreement_rate_difference_item_cluster,20,0.05666666666666664,0.05660753333333332,0.00666666666666671,0.10000000000000009,100000.0,1
v1,pref-bt/default,pref-ce/default,top1_accuracy_difference,20,-0.04999999999999999,-0.0498925,-0.25000000000000006,0.15000000000000002,100000.0,0
v1,pref-bt/default,pref-ce/default,pairwise_agreement_rate_difference_item_cluster,20,-0.00666666666666671,-0.0066356,-0.046666666666666634,0.030000000000000027,100000.0,1
v1,pref-sentseq/lr1e-4-ep20,pref-sentseq/lr1e-4-ep40,top1_accuracy_difference,20,-0.04999999999999993,-0.049564,-0.15000000000000002,0.0,100000.0,0
v1,pref-sentseq/lr1e-4-ep20,pref-sentseq/lr1e-4-ep40,pairwise_agreement_rate_difference_item_cluster,20,-0.016666666666666607,-0.01673303333333333,-0.036666666666666625,0.0,100000.0,1
v2b,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1_accuracy_difference,24,0.04166666666666674,0.04178791666666666,-0.08333333333333337,0.16666666666666674,100000.0,0
v2b,pref-sentseq/lr3e-4-ep40,pref-bt/default,pairwise_agreement_rate_difference_item_cluster,24,0.01388888888888884,0.013885416666666666,-0.02777777777777779,0.05555555555555558,100000.0,1
v2b,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1_accuracy_difference,24,-0.08333333333333337,-0.08322916666666666,-0.20833333333333337,0.0,100000.0,0
v2b,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,pairwise_agreement_rate_difference_item_cluster,24,-0.02777777777777779,-0.027817361111111112,-0.06944444444444442,0.0,100000.0,1
v2b,pref-sentseq/lr3e-4-ep40,pref-ce/beyond-para,top1_accuracy_difference,24,0.4166666666666667,0.4166766666666667,0.20833333333333337,0.625,100000.0,0
v2b,pref-sentseq/lr3e-4-ep40,pref-ce/beyond-para,pairwise_agreement_rate_difference_item_cluster,24,0.11111111111111105,0.11098666666666668,0.02777777777777779,0.19444444444444442,100000.0,1
v2c,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1_accuracy_difference,24,0.125,0.12536541666666667,-0.041666666666666685,0.29166666666666674,100000.0,0
v2c,pref-sentseq/lr3e-4-ep40,pref-bt/default,pairwise_agreement_rate_difference_item_cluster,24,0.04166666666666663,0.041805972222222224,-0.01388888888888895,0.09722222222222221,100000.0,1
v2c,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1_accuracy_difference,24,-0.08333333333333337,-0.0834275,-0.20833333333333337,0.0,100000.0,0
v2c,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,pairwise_agreement_rate_difference_item_cluster,24,-0.02777777777777779,-0.0277275,-0.06944444444444442,0.0,100000.0,1
