held_out_project,num_train_pairs,num_test_pairs,accuracy,correct,total,bt_loss,mean_margin,model,data_version,seed
ts-tapl,5049,1225,0.9534693956375122,1168,1225,0.1265745759010315,10.263319969177246,pref-bt,pref_dataset_unique_6274,0
eff,5208,1066,0.9784240126609802,1043,1066,0.05075973644852638,25.885923385620117,pref-bt,pref_dataset_unique_6274,0
physical-debug,5373,901,0.9955604672431946,897,901,0.011050482280552387,31.802560806274414,pref-bt,pref_dataset_unique_6274,0
compute-society,5393,881,0.9852440357208252,868,881,0.04051592946052551,31.68514633178711,pref-bt,pref_dataset_unique_6274,0
compute-programming,5778,496,0.9717742204666138,482,496,0.08738695085048676,15.058074951171875,pref-bt,pref_dataset_unique_6274,0
what-is-monad,5866,408,0.9558823704719543,390,408,0.1332574039697647,15.02193546295166,pref-bt,pref_dataset_unique_6274,0
computer-arch-revisit,6002,272,0.9816176295280457,267,272,0.057779379189014435,22.456449508666992,pref-bt,pref_dataset_unique_6274,0
compute-unconventional,6023,251,0.9681274890899658,243,251,0.05686536058783531,20.43828010559082,pref-bt,pref_dataset_unique_6274,0
compute-typetheory,6057,217,0.9861751198768616,214,217,0.07899951189756393,17.058612823486328,pref-bt,pref_dataset_unique_6274,0
raft-practical,6070,204,0.9656862616539001,197,204,0.13643397390842438,8.954181671142578,pref-bt,pref_dataset_unique_6274,0
cs-for-ai-ages,6106,168,1.0,168,168,0.004465547855943441,32.748348236083984,pref-bt,pref_dataset_unique_6274,0
ir-system,6191,83,0.9638554453849792,80,83,0.04570154845714569,20.135141372680664,pref-bt,pref_dataset_unique_6274,0
compute-whatis,6196,78,0.8589743375778198,67,78,0.27910324931144714,7.697179317474365,pref-bt,pref_dataset_unique_6274,0
lean-from-zero,6250,24,0.875,21,24,0.14563243091106415,6.9142303466796875,pref-bt,pref_dataset_unique_6274,0
